Data intrare,Symbol,Semnal,Pret intrare,TP,SL,Size,EMA20,EMA50,RSI14,BB_Upper,BB_Lower,BB_Width,Vol_Ratio,Rezultat,Data iesire,PnL $,PnL %
04.05.2026 01:45,SOLUSDT,BUY,84.04,85.05,83.53,10$,84.0647,84.0231,52.52,84.5071,83.5937,1.09,2.30,OPEN,,0.00$,0.00%
04.05.2026 00:46,SOLUSDT,SL_HIT,83.92,84.93,83.41,10$,84.1047,84.0412,48.51,84.5237,83.5376,1.17,1.57,SL_HIT,04.05.2026 00:46,-0.05$,-0.47%
03.05.2026 23:46,DOGEUSDT,BUY,0.10826,0.10956,0.10761,10$,0.1084,0.1084,51.37,0.1091,0.1075,1.44,1.43,OPEN,,0.00$,0.00%
03.05.2026 22:05,ETHUSDT,TP_HIT,2.304,2.373,2.269,10$,,,,,,,,TP_HIT,03.05.2026 22:05,0.14$,1.40%
03.05.2026 03:40,SOLUSDT,MANUAL_CLOSE,83.602,86.11006,82.34797,10$,83.7891,83.7180,47.86,84.1321,83.4594,0.80,1.22,MANUAL_CLOSE,03.05.2026 03:40,0.07$,+0.87%
03.05.2026 03:40,BTCUSDT,MANUAL_CLOSE,78400.0,80752.0,77224.0,10$,,,,,,,,,MANUAL_CLOSE,03.05.2026 03:40,0.27$,+0.35%
02.05.2026 11:47,SOLUSDT,BUY,83.60200,86.11006,82.34797,10$,83.7891,83.7180,47.86,84.1321,83.4594,0.80,1.22,OPEN,,0.00$,0.00%
02.05.2026 05:35,SOLUSDT,BUY,83.96,86.48,82.70,10$,,,,,,,,SL_HIT,02.05.2026 13:38,-0.02$,-0.23%
02.05.2026 04:19,SOLUSDT,BUY,83.76,86.28,82.51,10$,,,,,,,,SL_HIT,02.05.2026 04:04,-0.00$,-0.04%
02.05.2026 04:06,SOLUSDT,BUY,83.72,86.23,82.46,10$,,,,,,,,SL_HIT,02.05.2026 03:53,-0.00$,-0.04%
01.05.2026 07:07,ETHUSDT,SELL,2283.90,2215.38,2318.16,10$,,,,,,,,SL_HIT,01.05.2026 15:58,-0.63$,-2.76%
01.05.2026 07:07,SOLUSDT,SELL,83.963,81.444,85.222,10$,,,,,,,,SL_HIT,01.05.2026 15:58,-0.16$,-1.90%
30.04.2026 17:06,BTCUSDT,SELL,76589.80,74292.11,77738.65,10$,,,,69.6,2.21x,,,TP_HIT,30.04.2026 17:35,0.34$,+0.44%
29.04.2026 19:03,ETHUSDT,BUY,2274,2343,2240,10$,,,43.2,,,,1.79x,SL_HIT,29.04.2026 21:08,-0.36$,-1.58%
29.04.2026 16:07,BTCUSDT,SELL,77164,74849,78321,10$,,,69.6,,,,2.21x,SL_HIT,29.04.2026 18:30,0.90$,+1.17%
